column_name,data_type,feature_group,description
ID,string,identifier,"Unique row identifier for each customer snapshot entry, formatted like ID_XXXXXXXXXX. Used for submission matching only."
arpu,float64,customer_profile,Average revenue per user for the customer over the relevant mobile money observation window.
age,int64,customer_profile,Customer age in years.
gender,object,customer_profile,Customer gender.
region,object,customer_profile,Customer region or geographic area.
smartphone,object,customer_profile,Category or flag indicating whether the customer uses a smartphone.
segment,object,customer_profile,Business-defined customer segment.
earning_pattern,object,customer_profile,Category describing the customer’s earnings pattern or income regularity.
x_90_d_activity_rate,float64,activity,Rate or proportion of days with mobile money activity during the last 90 days.
m1_paybill_volume,int64,behaviour,"Number of transactions for paybill payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_paybill_total_value,float64,behaviour,"Total value of transactions for paybill payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_paybill_highest_amount,float64,behaviour,"Largest single transaction amount for paybill payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_paybill_companies,float64,behaviour,"Number of unique paybill companies interacted with for paybill payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m2_paybill_volume,int64,behaviour,"Number of transactions for paybill payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_paybill_total_value,float64,behaviour,"Total value of transactions for paybill payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_paybill_highest_amount,float64,behaviour,"Largest single transaction amount for paybill payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_paybill_companies,float64,behaviour,"Number of unique paybill companies interacted with for paybill payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m3_paybill_volume,int64,behaviour,"Number of transactions for paybill payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_paybill_total_value,float64,behaviour,"Total value of transactions for paybill payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_paybill_highest_amount,float64,behaviour,"Largest single transaction amount for paybill payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_paybill_companies,float64,behaviour,"Number of unique paybill companies interacted with for paybill payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m4_paybill_volume,int64,behaviour,"Number of transactions for paybill payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_paybill_total_value,float64,behaviour,"Total value of transactions for paybill payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_paybill_highest_amount,float64,behaviour,"Largest single transaction amount for paybill payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_paybill_companies,float64,behaviour,"Number of unique paybill companies interacted with for paybill payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m5_paybill_volume,int64,behaviour,"Number of transactions for paybill payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_paybill_total_value,float64,behaviour,"Total value of transactions for paybill payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_paybill_highest_amount,float64,behaviour,"Largest single transaction amount for paybill payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_paybill_companies,float64,behaviour,"Number of unique paybill companies interacted with for paybill payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m6_paybill_volume,int64,behaviour,"Number of transactions for paybill payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_paybill_total_value,float64,behaviour,"Total value of transactions for paybill payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_paybill_highest_amount,float64,behaviour,"Largest single transaction amount for paybill payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_paybill_companies,float64,behaviour,"Number of unique paybill companies interacted with for paybill payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m1_merchantpay_volume,int64,behaviour,"Number of transactions for merchant payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_merchantpay_total_value,float64,behaviour,"Total value of transactions for merchant payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_merchantpay_highest_amount,float64,behaviour,"Largest single transaction amount for merchant payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_merchantpay_merchants,float64,behaviour,"Number of unique merchants interacted with for merchant payments in month M1, where M1 is the most recent month and M6 is the oldest month."
m2_merchantpay_volume,int64,behaviour,"Number of transactions for merchant payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_merchantpay_total_value,float64,behaviour,"Total value of transactions for merchant payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_merchantpay_highest_amount,float64,behaviour,"Largest single transaction amount for merchant payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_merchantpay_merchants,float64,behaviour,"Number of unique merchants interacted with for merchant payments in month M2, where M1 is the most recent month and M6 is the oldest month."
m3_merchantpay_volume,int64,behaviour,"Number of transactions for merchant payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_merchantpay_total_value,float64,behaviour,"Total value of transactions for merchant payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_merchantpay_highest_amount,float64,behaviour,"Largest single transaction amount for merchant payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_merchantpay_merchants,float64,behaviour,"Number of unique merchants interacted with for merchant payments in month M3, where M1 is the most recent month and M6 is the oldest month."
m4_merchantpay_volume,int64,behaviour,"Number of transactions for merchant payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_merchantpay_total_value,float64,behaviour,"Total value of transactions for merchant payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_merchantpay_highest_amount,float64,behaviour,"Largest single transaction amount for merchant payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_merchantpay_merchants,float64,behaviour,"Number of unique merchants interacted with for merchant payments in month M4, where M1 is the most recent month and M6 is the oldest month."
m5_merchantpay_volume,int64,behaviour,"Number of transactions for merchant payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_merchantpay_total_value,float64,behaviour,"Total value of transactions for merchant payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_merchantpay_highest_amount,float64,behaviour,"Largest single transaction amount for merchant payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_merchantpay_merchants,float64,behaviour,"Number of unique merchants interacted with for merchant payments in month M5, where M1 is the most recent month and M6 is the oldest month."
m6_merchantpay_volume,int64,behaviour,"Number of transactions for merchant payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_merchantpay_total_value,float64,behaviour,"Total value of transactions for merchant payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_merchantpay_highest_amount,float64,behaviour,"Largest single transaction amount for merchant payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_merchantpay_merchants,float64,behaviour,"Number of unique merchants interacted with for merchant payments in month M6, where M1 is the most recent month and M6 is the oldest month."
m1_transfer_from_bank_volume,int64,behaviour,"Number of transactions for transfers received from bank accounts in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_transfer_from_bank_total_value,float64,behaviour,"Total value of transactions for transfers received from bank accounts in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_transfer_from_bank_highest_amount,float64,behaviour,"Largest single transaction amount for transfers received from bank accounts in month M1, where M1 is the most recent month and M6 is the oldest month."
m1_transfer_from_bank_banks,float64,behaviour,"Number of unique banks interacted with for transfers received from bank accounts in month M1, where M1 is the most recent month and M6 is the oldest month."
m2_transfer_from_bank_volume,int64,behaviour,"Number of transactions for transfers received from bank accounts in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_transfer_from_bank_total_value,float64,behaviour,"Total value of transactions for transfers received from bank accounts in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_transfer_from_bank_highest_amount,float64,behaviour,"Largest single transaction amount for transfers received from bank accounts in month M2, where M1 is the most recent month and M6 is the oldest month."
m2_transfer_from_bank_banks,float64,behaviour,"Number of unique banks interacted with for transfers received from bank accounts in month M2, where M1 is the most recent month and M6 is the oldest month."
m3_transfer_from_bank_volume,int64,behaviour,"Number of transactions for transfers received from bank accounts in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_transfer_from_bank_total_value,float64,behaviour,"Total value of transactions for transfers received from bank accounts in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_transfer_from_bank_highest_amount,float64,behaviour,"Largest single transaction amount for transfers received from bank accounts in month M3, where M1 is the most recent month and M6 is the oldest month."
m3_transfer_from_bank_banks,float64,behaviour,"Number of unique banks interacted with for transfers received from bank accounts in month M3, where M1 is the most recent month and M6 is the oldest month."
m4_transfer_from_bank_volume,int64,behaviour,"Number of transactions for transfers received from bank accounts in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_transfer_from_bank_total_value,float64,behaviour,"Total value of transactions for transfers received from bank accounts in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_transfer_from_bank_highest_amount,float64,behaviour,"Largest single transaction amount for transfers received from bank accounts in month M4, where M1 is the most recent month and M6 is the oldest month."
m4_transfer_from_bank_banks,float64,behaviour,"Number of unique banks interacted with for transfers received from bank accounts in month M4, where M1 is the most recent month and M6 is the oldest month."
m5_transfer_from_bank_volume,int64,behaviour,"Number of transactions for transfers received from bank accounts in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_transfer_from_bank_total_value,float64,behaviour,"Total value of transactions for transfers received from bank accounts in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_transfer_from_bank_highest_amount,float64,behaviour,"Largest single transaction amount for transfers received from bank accounts in month M5, where M1 is the most recent month and M6 is the oldest month."
m5_transfer_from_bank_banks,float64,behaviour,"Number of unique banks interacted with for transfers received from bank accounts in month M5, where M1 is the most recent month and M6 is the oldest month."
m6_transfer_from_bank_volume,int64,behaviour,"Number of transactions for transfers received from bank accounts in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_transfer_from_bank_total_value,float64,behaviour,"Total value of transactions for transfers received from bank accounts in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_transfer_from_bank_highest_amount,float64,behaviour,"Largest single transaction amount for transfers received from bank accounts in month M6, where M1 is the most recent month and M6 is the oldest month."
m6_transfer_from_bank_banks,float64,behaviour,"Number of unique banks interacted with for transfers received from bank accounts in month M6, where M1 is the most recent month and M6 is the oldest month."
